eta	tuttig	piu_v_sett	una_v_sett	qual_v_mese	qual_v_anno	mai_noamici
6-10	1495	714	341	149	24	30
11-14	1338	581	220	66	5	31
15-17	1138	464	177	36	3	10
18-19	610	371	119	30	4	4
20-24	1305	1166	335	139	41	36
25-34	1531	2755	1723	1015	218	150
35-44	1090	2751	2741	2328	681	332
45-54	803	2154	2365	1994	751	395
55-59	414	967	951	860	302	209
60-64	514	988	836	812	354	242
65-74	1053	1634	1160	1157	643	626
>=75	782	1055	752	973	812	1229
